date,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-04-03,0.3053416225653426,0.3032671719461764,0.3277985690809297,0.06359263640755129,0.307,0.329,0.364,0.0
2024-04-04,0.30502415045817016,0.305096917279385,0.32723389513804924,0.06264503712439552,0.31,0.318,0.372,0.0
2024-04-05,0.3047835221864714,0.3041483822900307,0.3284230583991023,0.06264503712439552,0.303,0.294,0.403,0.0
2024-04-06,0.30645828791076174,0.3041628372349025,0.3267338377299402,0.06264503712439552,0.329,0.306,0.365,0.0
2024-04-07,0.30703782692430376,0.30331200080016424,0.326508145641723,0.06314202663380898,0.307,0.305,0.388,0.0
2024-04-08,0.31027334537792467,0.29914751184602545,0.3266370252472292,0.06394211752882058,0.325,0.285,0.39,0.0
2024-04-09,0.3101371822639978,0.29869340318331433,0.3272272970238672,0.06394211752882058,0.331,0.295,0.374,0.0
2024-04-10,0.31021504246481085,0.2982981283358106,0.3273059354879987,0.06418089371137979,0.326,0.282,0.392,0.0
2024-04-11,0.31021504246481085,0.2982981283358106,0.3273059354879987,0.06418089371137979,0.307,0.275,0.418,0.0
2024-04-12,0.3104718930518543,0.2980181336148056,0.32691139064929214,0.06459858268404779,0.329,0.311,0.36,0.0
2024-04-13,0.3106885925699666,0.2977659350117527,0.32685528162060257,0.06469019079767807,0.323,0.305,0.372,0.0
2024-04-14,0.30970335379396313,0.297939385340729,0.32833276265561545,0.06402449820969232,0.335,0.279,0.386,0.0
2024-04-15,0.3061308562048834,0.29815812935942565,0.3313922869881801,0.06431872744751076,0.313,0.296,0.391,0.0
2024-04-16,0.3061308562048834,0.29815812935942565,0.3313922869881801,0.06431872744751076,0.311,0.293,0.396,0.0
2024-04-17,0.30636749403937263,0.2983814897721403,0.3309322887409762,0.06431872744751076,0.324,0.301,0.375,0.0
2024-04-18,0.30636749403937263,0.2983814897721403,0.3309322887409762,0.06431872744751076,0.309,0.31,0.381,0.0
2024-04-19,0.3064509709158709,0.29808034778475634,0.33114995385186197,0.06431872744751076,0.309,0.303,0.388,0.0
2024-04-20,0.3063153295912215,0.2980367127558394,0.3313292302054283,0.06431872744751076,0.286,0.335,0.379,0.0
2024-04-21,0.30700307003770794,0.29800249718172295,0.3306757053330583,0.06431872744751076,0.317,0.313,0.37,0.0
2024-04-23,0.30683897301347984,0.2993529883918941,0.33039427979360864,0.0634137588010173,0.3,0.303,0.397,0.0
2024-04-24,0.3065287800650582,0.29885212371138736,0.3306289286444914,0.06399016757906291,0.32,0.298,0.382,0.0
2024-04-25,0.30738670093629944,0.2989235104899938,0.33072508485127844,0.0629647037224282,0.312,0.283,0.405,0.0
2024-04-26,0.30762795963998224,0.29886298504040193,0.3305443515971876,0.0629647037224282,0.331,0.283,0.386,0.0
2024-04-27,0.30762795963998224,0.29886298504040193,0.3305443515971876,0.0629647037224282,0.291,0.309,0.4,0.0
2024-04-28,0.30687461719142295,0.29941778698005594,0.33074289210609287,0.0629647037224282,0.329,0.274,0.397,0.0
2024-04-29,0.3072951104802197,0.29951421158866487,0.3299544364887302,0.06323624144238517,0.311,0.312,0.377,0.0
2024-04-30,0.30687624036825606,0.2996441241641566,0.33023548227145705,0.06324415319613023,0.302,0.314,0.384,0.0
2024-05-01,0.3082092150462578,0.29873428178894906,0.33029503896650714,0.06276146419828588,0.295,0.319,0.386,0.0
2024-05-02,0.3068663320989973,0.2991549160824522,0.33038293962199067,0.06359581219655992,0.306,0.314,0.38,0.0
2024-05-03,0.3070022531837311,0.29929460560430976,0.33010732901539935,0.06359581219655992,0.309,0.289,0.402,0.0
2024-05-04,0.30673451760975406,0.2996039812510523,0.3300656889426337,0.06359581219655992,0.291,0.301,0.408,0.0
2024-05-05,0.30714319721602773,0.29950081697373293,0.32976017361367965,0.06359581219655992,0.323,0.29,0.387,0.0
2024-05-06,0.3058940474365617,0.2996208386288439,0.3315890614522524,0.06289605248234197,0.309,0.323,0.368,0.0
2024-05-07,0.3059328540859378,0.29953210094362787,0.3316389924880923,0.06289605248234197,0.31,0.294,0.396,0.0
2024-05-08,0.306412310052569,0.2996564383466594,0.33100002428124314,0.06293122731952844,0.315,0.312,0.373,0.0
2024-05-09,0.3065043137274549,0.29872246441690375,0.3318356018972645,0.06293761995837682,0.279,0.332,0.389,0.0
2024-05-10,0.306478020528349,0.2987854417487914,0.3317989177644827,0.06293761995837682,0.314,0.299,0.387,0.0
2024-05-11,0.3062481140193022,0.2987761289031281,0.33182700924461045,0.06314874783295917,0.321,0.31,0.369,0.0
2024-05-12,0.30663606662779114,0.29881416264630617,0.3314010228929434,0.06314874783295917,0.315,0.304,0.381,0.0
