date,cc_mean_vote_share,dgm_mean_vote_share,pdal_mean_vote_share,ssp_mean_vote_share,cc_win_probability,dgm_win_probability,pdal_win_probability,ssp_win_probability
2024-04-04,0.30836714928023556,0.3002427795710118,0.327636342136917,0.06375372901183551,0.327,0.292,0.381,0.0
2024-04-06,0.30866232776306735,0.30109048227416607,0.32649346095093107,0.06375372901183551,0.325,0.297,0.378,0.0
2024-04-07,0.31161739771015357,0.29893124435575125,0.32569762892225956,0.06375372901183551,0.321,0.311,0.368,0.0
2024-04-09,0.3075234863773673,0.30015209890027184,0.328197651056593,0.06412676366576771,0.339,0.283,0.378,0.0
2024-04-10,0.3085249562080365,0.2986597454455494,0.3286885346806462,0.06412676366576771,0.291,0.301,0.408,0.0
2024-04-11,0.3085249562080365,0.2986597454455494,0.3286885346806462,0.06412676366576771,0.328,0.288,0.384,0.0
2024-04-13,0.3085249562080365,0.2986597454455494,0.3286885346806462,0.06412676366576771,0.293,0.311,0.396,0.0
2024-04-14,0.3082650516920538,0.2990716129207826,0.32853657172139566,0.06412676366576771,0.327,0.292,0.381,0.0
2024-04-15,0.3080729790772791,0.2980225826167738,0.33035770006963205,0.06354673823631507,0.341,0.289,0.37,0.0
2024-04-16,0.3080729790772791,0.2980225826167738,0.33035770006963205,0.06354673823631507,0.342,0.276,0.382,0.0
2024-04-17,0.3080729790772791,0.2980225826167738,0.33035770006963205,0.06354673823631507,0.32,0.287,0.393,0.0
2024-04-18,0.30748883461060034,0.29875790076309244,0.33020652638999226,0.06354673823631507,0.323,0.294,0.383,0.0
2024-04-19,0.30779421538909824,0.2995185581590057,0.32886844747588007,0.06381877897601583,0.315,0.3,0.385,0.0
2024-04-20,0.3081869119885587,0.2990871397331263,0.32884490232456365,0.0638810459537513,0.321,0.303,0.376,0.0
2024-04-21,0.30806967410847425,0.29890757123440714,0.3291417087033672,0.0638810459537513,0.293,0.287,0.42,0.0
2024-04-22,0.30678507896917945,0.2983937605272154,0.3314382943008852,0.0633828662027199,0.332,0.289,0.379,0.0
2024-04-23,0.30588336225701795,0.29948682491082496,0.331246946629437,0.0633828662027199,0.297,0.318,0.385,0.0
2024-04-24,0.3062363394177759,0.2990153669349611,0.33136542744454284,0.0633828662027199,0.277,0.315,0.408,0.0
2024-04-25,0.30777423180623203,0.2983019609944053,0.3304609190682238,0.06346288813113873,0.315,0.305,0.38,0.0
2024-04-26,0.30671911729637713,0.29842440840287077,0.33139358616961334,0.06346288813113873,0.318,0.298,0.384,0.0
